SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,Date,DEMS with imperfect forecast,DROEMS,DEMS with perfect forecast,,,,,,DEMS with imperfect forecast,
19873.17359,0,2676.298543,3049.077124,12084.52011,1438.873918,,2/23/2030,20132.56811,18801.45445,20621.25281,0.023698109,,,,,20132.56811,19564.25209
80242.93807,0,3863.092199,7379.727075,10167.40341,1288.015412,,2/24/2030,82072.54958,76512.84492,82104.46765,0.000388749,,,,,82072.54958,77753.80385
42206.43204,0,-12216.85194,6882.154994,11273.96832,858.5368895,,2/25/2030,27734.78644,36832.83376,36876.19569,0.247894586,,,,,27734.78644,37274.8649
5960.49679,0,-3314.121713,735.5589462,6695.692736,1123.505351,,2/26/2030,1307.236531,1809.96369,3198.785782,0.591333519,,,,,1307.236531,-734.3067558
12828.16215,0,-9832.38319,3189.548716,5929.078661,71.36410967,,2/27/2030,1809.963226,6892.440083,7492.31224,0.758423946,,,,,1809.963226,7330.656613
134167.8061,0,-4547.476736,1679.57567,4156.920054,-103.0177968,,2/28/2030,128788.9454,114305.6118,131553.2469,0.021012796,,,,,128788.9454,121570.2773
7879.676901,0,1043.196112,981.5007064,13209.22979,-512.8245525,,3/1/2030,6281.027056,5740.41756,7324.021161,0.142407304,,,,,6281.027056,5987.944748
4973.10097,0,6619.81848,11275.10596,9946.019414,1603.9913,,3/2/2030,9603.715568,8187.664687,12097.96601,0.206171057,,,,,9603.715568,8247.968943
25646.93427,0,-9871.08883,1855.850895,9725.206626,852.271884,,3/3/2030,13830.80412,17835.44788,20732.82005,0.332902901,,,,,13830.80412,17863.34611
26824.4498,0,-69039.69572,40703.32534,4795.089897,809.034734,,3/4/2030,-43174.2639,16675.61972,16420.64103,3.629267872,,,,,-43174.2639,6704.894905
99854.70566,0,6701.752169,4591.435776,16154.89765,-348.3706461,,3/5/2030,103325.4783,101127.2568,106023.9776,0.025451783,,,,,103325.4783,102813.2188
218805.3484,0,-146632.0831,33551.11667,4024.109983,2348.420639,,3/6/2030,71368.44336,109880.5983,112104.8914,0.363377972,,,,,71368.44336,94381.51903
7918.529154,0,5216.005662,39540.10997,12214.86313,-522.8482199,,3/7/2030,10691.56219,10785.32137,10635.96617,-0.005227171,,,,,10691.56219,10716.41631
159547.602,0,1522.412192,8916.919489,15840.69935,1434.960782,,3/8/2030,157901.8743,157797.0977,165773.547,0.047484492,,,,,157901.8743,159040.0375
19666.36737,0,-1279.601986,322.3612051,9977.895063,2320.844214,,3/9/2030,16391.18638,14849.57252,15619.43156,-0.049409917,,,,,16391.18638,15868.15737
30515.67193,0,-30366.17188,16259.38989,4514.825445,926.0337204,,3/10/2030,-753.4650347,19785.72434,21887.58387,1.034424313,,,,,-753.4650347,19697.92061
109416.233,0,2776.491906,6407.33979,11273.12472,-388.3741348,,3/11/2030,109938.0999,63729.66728,129610.2454,0.151779247,,,,,109938.0999,81065.24531
127780.5407,0,-2355.261864,7225.175875,13262.50636,1254.476018,,3/12/2030,122772.7775,127626.6334,133975.978,0.083620965,,,,,122772.7775,128475.02
143187.5392,0,2688.949365,14723.0195,9845.704273,1752.558755,,3/13/2030,143907.3477,73704.5164,170294.6131,0.154950676,,,,,143907.3477,104504.0599
193874.4047,0,-10621.10849,2909.995305,9541.442984,930.6091822,,3/14/2030,181345.0076,157500.031,180851.076,-0.002731151,,,,,181345.0076,167945.8647
52764.20919,0,6888.993635,2185.283737,13621.91456,865.0498391,,3/15/2030,56928.81992,51369.21976,64790.14765,0.121335234,,,,,56928.81992,52288.24079
8371.193386,0,-19494.10864,6126.338594,6818.977432,1883.410671,,3/16/2030,-12486.71074,3494.698795,4590.385083,3.720188069,,,,,-12486.71074,3472.533579
7640.561688,0,-1260.887425,151.5154603,8014.549553,210.4031594,,3/17/2030,4776.764352,4912.54001,4631.789233,-0.031300025,,,,,4776.764352,5067.276621
40747.61129,0,-44631.98649,12878.05064,5355.913841,512.7006398,,3/18/2030,-4955.557972,21750.2055,23769.95369,1.208479917,,,,,-4955.557972,21320.88437
51270.7317,0,-4191.740031,253.83085,7569.93591,-144.8562405,,3/19/2030,45565.00449,46602.12766,48426.95756,0.059098346,,,,,45565.00449,46862.502
166735.5671,0,12212.73826,3004.757212,13031.14468,412.0507846,,3/20/2030,176342.0764,176343.0787,176774.7396,0.00244754,,,,,176342.0764,176376.8797
147886.7814,0,-27213.15146,5137.968125,6945.605061,1790.704201,,3/21/2030,119284.5089,129250.7759,131201.8579,0.090832166,,,,,119284.5089,128627.1976
62360.58729,0,-3743.082117,2874.727821,11844.07173,270.1869999,,3/22/2030,56248.69083,58075.82682,60492.78186,0.070158636,,,,,56248.69083,58687.32421
11234.79082,0,16961.4355,10900.07286,11124.11577,1516.042686,,3/23/2030,25971.40316,26810.6466,28901.60274,0.101385366,,,,,25971.40316,26843.57366
2808.006812,0,-563.583891,0,8281.364994,1347.026046,,3/24/2030,588.1499224,980.6578624,469.5386709,-0.252612317,,,,,588.1499224,420.2304209
2254.117832,0,3964.244876,2976.503943,9310.729013,632.8338215,,3/25/2030,4356.216905,4807.104103,6776.72174,0.357179316,,,,,4356.216905,5629.866512
2409.743465,0,2220.964686,5539.488699,9890.553099,904.0208269,,3/26/2030,2652.59753,3273.843795,3540.183707,0.250717548,,,,,2652.59753,1381.411005
66559.62041,0,-16490.13761,2257.057389,7612.949633,1062.462034,,3/27/2030,48546.89287,49288.44027,53003.69978,0.084084827,,,,,48546.89287,52095.68232
