SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
3071.265602,0,1414.94616,987.0360643,6710.313865,-578.8707463,,3144.148989
3835.833998,0,2780.888329,1882.631235,6682.831175,894.7104373,,5280.156093
40131.43682,0,-31992.618,11289.47956,5272.074155,893.3049949,,7084.403984
8103.614645,0,-46785.65575,26384.5211,3723.568934,398.1366814,,-39426.7549
106270.4449,0,-10731.93846,2272.658071,8072.607778,-150.4329615,,93923.98485
19258.4105,0,17585.14295,1770.974366,8504.450878,1411.750985,,35142.66327
3462.955263,0,884.0428187,79.56507351,8286.812329,1579.852099,,2689.635616
106.6879331,0,187.970933,0,7029.913104,1514.860559,,-1111.323755
8746.315411,0,-7089.474938,1950.758316,4805.009869,1070.960714,,695.8384995
12141.4812,0,2443.334127,403.1312559,9341.765755,269.0432602,,12716.46217
27824.56417,0,-11067.57722,4547.94544,6846.732442,1933.579358,,15387.64046
29274.73139,0,26820.60977,4635.22533,7958.585388,1032.693832,,54503.62407
31862.96945,0,61739.4196,27303.2011,6416.850197,1452.440016,,92319.01901
73508.26522,0,1851.706349,2048.7552,10711.91934,893.5122598,,73217.58771
8949.802862,0,3489.119331,3802.846039,6361.683757,2500.795436,,11166.58544
3169.460417,0,-512.2641013,453.3833863,7686.038621,895.0333959,,1119.988591
10406.18931,0,-789.7791539,383.647503,6207.682231,1400.516667,,8374.873713
4431.820045,0,2661.153425,1400.030507,9231.366707,855.2673432,,5246.700128
6814.86543,0,4373.498689,3511.487004,6612.828222,2007.590689,,9865.798475
3329.935317,0,5058.494269,2980.984675,6428.372243,1029.139761,,7102.755137
8603.150879,0,-351.1150891,0,7480.396763,967.9239816,,6755.956438
4536.953947,0,-13930.87589,7642.611843,7287.219928,1379.542281,,-10851.36593
10331.29923,0,-24592.01147,12122.544,2329.140656,1317.108438,,-14726.54038
962.6468755,0,135.6165328,8082.512873,7222.115225,-583.7680508,,-346.1596367
209.1716822,0,634.93455,4.813868855,6222.349346,1306.922486,,-400.363637
1553.018382,0,978.4490684,5470.526047,6412.858338,930.1068038,,1248.895783
29719.12507,0,19759.27444,12949.73804,6498.561673,1012.691372,,48178.68717
